Player,Age,Team,Pos,G,MP,PTS,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK
Josh Richardson,29,2TM,SG,65.0,23.5,10.1,0.431,0.365,0.506,0.852,2.7,2.7,1.1,0.3
Josh Richardson,29,SAS,SG,42.0,23.7,11.5,0.436,0.357,0.518,0.883,2.8,3.3,1.0,0.3
Josh Richardson,29,NOP,SG,23.0,23.2,7.5,0.419,0.384,0.468,0.762,2.4,1.6,1.3,0.4
DeAnthony Melton,24,PHI,SG,77.0,27.9,10.1,0.425,0.39,0.484,0.793,4.1,2.6,1.6,0.5
Aaron Nesmith,23,IND,SF,73.0,24.9,10.1,0.427,0.366,0.496,0.838,3.8,1.3,0.8,0.5
James Wiseman,21,2TM,C,45.0,19.3,10.0,0.558,0.2,0.58,0.701,5.9,0.7,0.2,0.6
James Wiseman,21,GSW,C,21.0,12.5,6.9,0.628,0.5,0.63,0.684,3.5,0.7,0.1,0.3
James Wiseman,21,DET,C,24.0,25.2,12.7,0.531,0.167,0.559,0.712,8.1,0.7,0.2,0.8
Brandon Clarke,26,MEM,PF,56.0,19.5,10.0,0.656,0.167,0.665,0.723,5.5,1.3,0.6,0.7
Jonathan Kuminga,20,GSW,PF,67.0,20.8,9.9,0.525,0.37,0.59,0.652,3.4,1.9,0.6,0.5
Onyeka Okongwu,22,ATL,C,80.0,23.1,9.9,0.638,0.308,0.647,0.781,7.2,1.0,0.7,1.3
Luka amani,23,UTA,PF,7.0,23.0,9.9,0.456,0.258,0.692,0.692,4.3,2.1,0.9,0.3
Shaedon Sharpe,19,POR,SG,80.0,22.2,9.9,0.472,0.36,0.559,0.714,3.0,1.2,0.5,0.3
Jalen Suggs,21,ORL,SG,53.0,23.5,9.9,0.419,0.327,0.496,0.723,3.0,2.9,1.3,0.5
Thomas Bryant,25,2TM,C,59.0,18.3,9.8,0.623,0.441,0.658,0.738,5.7,0.5,0.3,0.5
Thomas Bryant,25,LAL,C,41.0,21.4,12.1,0.654,0.44,0.697,0.741,6.8,0.7,0.3,0.6
Josh Hart,27,2TM,SF,76.0,32.3,9.8,0.529,0.372,0.601,0.75,7.8,3.8,1.2,0.3
Josh Hart,27,POR,SF,51.0,33.4,9.5,0.504,0.304,0.594,0.731,8.2,3.9,1.1,0.2
Josh Hart,27,NYK,SF,25.0,30.0,10.2,0.586,0.519,0.619,0.789,7.0,3.6,1.4,0.5
Al Horford,36,BOS,C,63.0,30.5,9.8,0.476,0.446,0.539,0.714,6.2,3.0,0.5,1.0
Herbert Jones,24,NOP,PF,66.0,29.6,9.8,0.469,0.335,0.536,0.764,4.1,2.5,1.6,0.6
Julian Champagnie,21,2TM,SF,17.0,18.8,9.7,0.454,0.402,0.542,0.824,3.5,0.6,0.4,0.3
